,Id,Name,Price,Rating,NumRatings,Type,StyleName,Year,Body,Acidity,Vintage,Nat,Region,Country,Size,Winery
0,1416855,Bota Box Redvolution 2011,5.02,3.5,1957,1,Californian Red Blend,2011,4,3,0,0,California,United States,500,Bota Box
1,88766858,Crane Lake Cabernet Sauvignon 2016,5.49,3.2,3101,1,Californian Cabernet Sauvignon,2016,4,3,0,0,California,United States,750,Crane Lake
2,141258254,Crane Lake Pinot Noir 2016,5.49,3.2,1466,1,Californian Pinot Noir,2016,3,3,0,0,California,United States,750,Crane Lake
3,157294384,Oro Bello Rosé Gold 2017,5.25,3.8,50,4,Californian Rosé,2017,3,2,0,0,California,United States,750,Oro Bello
4,1395988,Sutter Home White Zinfandel 2012,6.67,3.6,6112,4,NONE,2012,-1,-1,0,0,St. Helena,United States,750,Sutter Home
5,165384327,Dominio de Eguren Protocolo Rosado 2020,6.99,3.5,949,4,NONE,2020,-1,-1,0,0,Castilla,Spain,750,Dominio de Eguren
6,156142487,Woodbridge by Robert Mondavi White Zinfandel 2018,7.08,3.7,7880,4,Californian Rosé,2018,3,2,0,0,California,United States,750,Woodbridge by Robert Mondavi
7,156753111,Charles & Charles Rosé 2018,7.97,3.6,5342,4,NONE,2018,-1,-1,0,0,Columbia Valley,United States,750,Charles & Charles
8,162946479,La Vieille Ferme Rosé 2020,7.99,3.6,21177,4,Southern Rhône Rosé,2020,3,3,0,0,Vin de France,France,750,La Vieille Ferme
9,159860829,Smoking Loon Steelbird Rosé 2018,8.55,3.5,131,4,Californian Rosé,2018,3,2,0,0,California,United States,750,Smoking Loon
10,164762138,Borsao Bodegas Rosado (Selección Rosado / Rosé) 2020,8.55,3.5,1645,4,NONE,2020,-1,-1,0,0,Campo de Borja,Spain,750,Borsao Bodegas
11,163341119,Wild Pig Syrah Rosé 2020,8.99,3.1,640,4,NONE,2020,-1,-1,0,0,Pays d'Oc,France,750,Wild Pig
12,163321217,Apothic Rosé (Limited Release) 2020,8.99,3.5,5151,4,Californian Rosé,2020,3,2,0,0,California,United States,750,Apothic
13,163547948,Santa Maria La Palma Aragosta Rosé 2020,8.99,3.3,1262,4,NONE,2020,-1,-1,0,0,Alghero,Italy,750,Santa Maria La Palma
14,168945814,Amalaya Rosado (Malbec - Torrontés) 2021,8.99,3.6,2779,4,NONE,2021,-1,-1,0,0,Salta,Argentina,750,Amalaya
15,159857569,Dark Horse Rosé 2019,8.99,3.4,6406,4,NONE,2019,-1,-1,0,0,California,United States,750,Dark Horse
16,162906230,AVA Grace Rosé 2020,8.99,3.6,2143,4,Californian Rosé,2020,3,2,0,0,California,United States,750,AVA Grace
17,163248453,Dark Horse Rosé 2020,8.99,3.4,6406,4,NONE,2020,-1,-1,0,0,California,United States,750,Dark Horse
18,9898582,Axel des Vignes Axel des Vignes Bordeaux Rosé 2014,9.49,3.4,196,4,NONE,2014,-1,-1,0,0,Bordeaux,France,750,Axel des Vignes
19,165065126,El Coto Rosado 2020,9.62,3.4,2353,4,NONE,2020,-1,-1,0,0,Rioja,Spain,750,El Coto
20,163185844,Flat Top Hills Rosé 2019,9.62,3.5,117,4,Californian Rosé,2019,3,2,0,0,California,United States,750,Flat Top Hills
21,164605977,The Dreaming Tree Rosé 2019,9.62,3.7,676,4,Californian Rosé,2019,3,2,0,0,California,United States,750,The Dreaming Tree
22,160295792,Charles Smith Band of Roses Rosé 2019,9.62,3.6,2230,4,NONE,2019,-1,-1,0,0,Washington,United States,750,Charles Smith
23,164273449,Bogle Rosé 2020,9.62,3.5,339,4,Californian Rosé,2020,3,2,0,0,California,United States,750,Bogle
24,153377461,Loimer Rosé 2017,9.97,3.7,1131,4,NONE,2017,-1,-1,0,0,Niederösterreich,Austria,750,Loimer
25,155830130,Château Pesquie Ventoux Terrasses Rosé 2017,9.97,3.6,1260,4,Southern Rhône Rosé,2017,3,3,0,0,Ventoux,France,750,Château Pesquie
26,154367736,Espelt Coralí 2017,9.97,3.4,580,4,NONE,2017,-1,-1,0,0,Empordà,Spain,750,Espelt
27,156767036,Proverb Rosé 2017,9.97,3.7,148,4,Californian Rosé,2017,3,2,0,0,California,United States,750,Proverb
28,154637951,Ktima Pavlidis Thema Rosé 2017,9.97,3.7,499,4,NONE,2017,-1,-1,0,0,Drama,Greece,750,Ktima Pavlidis
29,153134244,Mastroberardino Lacrimarosa Irpinia Rosato 2017,9.97,3.7,1422,4,NONE,2017,-1,-1,0,0,Irpinia,Italy,750,Mastroberardino
30,163083176,Prophecy Rosé 2020,9.98,3.5,3187,4,NONE,2020,-1,-1,0,0,Vin de France,France,750,Prophecy
31,163095390,90+ Cellars Lot 33 Rosé 2020,9.98,3.6,1492,4,Languedoc-Roussillon Rosé,2020,4,3,0,0,Languedoc,France,750,90+ Cellars
32,167065513,Monte Ory Rosé 2020,9.99,3.4,474,4,NONE,2020,-1,-1,0,0,Navarra,Spain,750,Monte Ory
33,165638479,Santa Julia Malbec Rosé 2020,9.99,3.5,346,4,NONE,2020,-1,-1,0,0,Mendoza,Argentina,750,Santa Julia
34,160089017,Charles & Charles Rosé 2019,9.99,3.6,5342,4,NONE,2019,-1,-1,0,0,Columbia Valley,United States,750,Charles & Charles
35,156640407,Salentein Portillo Rosé Malbec 2018,9.99,3.5,1882,4,NONE,2018,-1,-1,0,0,Tunuyán,Argentina,750,Salentein
36,163247513,Mont Gravet Rosé 2020,9.99,3.8,1772,4,Languedoc-Roussillon Rosé,2020,4,3,0,0,Pays d'Oc,France,750,Mont Gravet
37,165150337,Radley & Finch Summer Sessions Cinsault Rosé 2020,9.99,3.6,190,4,NONE,2020,-1,-1,0,0,Western Cape,South Africa,750,Radley & Finch
38,163514496,Cupcake Rosé 2020,9.99,3.3,1349,4,Californian Rosé,2020,3,2,0,0,California,United States,750,Cupcake
39,162906246,Marqués de Cáceres Rioja Rosado 2020,9.99,3.4,8365,4,NONE,2020,-1,-1,0,0,Rioja,Spain,750,Marqués de Cáceres
40,142962438,Herzog Baron Herzog White Zinfandel 2016,9.99,3.4,484,4,NONE,2016,-1,-1,0,0,California,United States,750,Herzog
